source,incident_id,incident_date,formated_date,county,range,contained,company,incident_type,total_gallons,chem_gallons,water_gallons,oil,brine,other,water,note
o,2.01105E+13,5/27/2011,2011-05,WILLIAMS,15409504,Yes,Hess Corporation,Pipeline,0,0,0,0,0,0,0,
o,2.01105E+13,5/27/2011,2011-05,WILLIAMS,15509508,Yes,Hess Corporation,Pipeline,0,0,0,0,0,0,0,
o,2.01105E+13,5/27/2011,2011-05,WILLIAMS,15509507,Yes,Hess Corporation,Valve,0,0,0,0,0,0,0,
o,2.01105E+13,5/26/2011,2011-05,MCKENZIE,15310103,No,SM Energy,Other,0,0,0,0,0,0,0,
o,2.01105E+13,5/23/2011,2011-05,MCKENZIE,15210121,No,Brigham Oil & Gas,Overflow,0,0,0,0,0,0,0,
o,2.01105E+13,5/20/2011,2011-05,MOUNTRAIL,15409319,Yes,Hess Corporation,Fire,0,0,0,0,0,0,0,
o,2.01105E+13,5/17/2011,2011-05,WILLIAMS,15609909,No,Newfield Production Company,Other,0,0,0,0,0,0,0,
o,2.01105E+13,5/17/2011,2011-05,WILLIAMS,15609921,No,Newfield Production Company,Other,0,0,0,0,0,0,0,
o,RKG00000003,5/11/2011,2011-05,MOUNTRAIL,15109221,No,Slawson Exploration,Other,0,0,0,0,0,0,0,
o,2.01105E+13,5/5/2011,2011-05,DUNN,14909316,No,WPX,Fire,0,0,0,0,0,0,0,
o,2.01105E+13,5/4/2011,2011-05,MCKENZIE,14910014,No,Whiting Oil & Gas,Fire,0,0,0,0,0,0,0,
o,2.01105E+13,5/2/2011,2011-05,MOUNTRAIL,15208805,No,Key Energy Services,Other,0,0,0,0,0,0,0,
o,2.01104E+13,4/21/2011,2011-04,WILLIAMS,15809502,Yes,Arsenal Energy,Pipeline,0,0,0,0,0,0,0,
o,2.01104E+13,4/19/2011,2011-04,WILLIAMS,15210401,Yes,Brigham Oil & Gas,Fire,0,0,0,0,0,0,0,
o,2.01104E+13,4/13/2011,2011-04,WILLIAMS,15709501,Yes,Hess Corporation,Other,0,0,0,0,0,0,0,
o,2.01104E+13,4/11/2011,2011-04,MCKENZIE,15209614,Yes,Hess Corporation,Pipeline,0,0,0,0,0,0,0,
o,2.01104E+13,4/7/2011,2011-04,MCKENZIE,14909432,No,Zenergy,Other,0,0,0,0,0,0,0,
o,2.01104E+13,4/8/2011,2011-04,WILLIAMS,15609827,No,Hess Corporation,Other,0,0,0,0,0,0,0,
o,2.01104E+13,4/5/2011,2011-04,WILLIAMS,15709707,Yes,Hess Corporation,Other,0,0,0,0,0,0,0,
o,2.01103E+13,3/31/2011,2011-03,DUNN,14709708,Yes,Hess Corporation,Fire,0,0,0,0,0,0,0,
o,2.01103E+13,3/6/2011,2011-03,WILLIAMS,15609829,Yes,"American Oil & Gas, Inc.",Fire,0,0,0,0,0,0,0,
o,MFB00000354,3/7/2011,2011-03,MCKENZIE,15110012,No,SM Energy,Blowout,0,0,0,0,0,0,0,
o,2.01103E+13,3/2/2011,2011-03,MOUNTRAIL,15709101,No,EOG Resources,Other,0,0,0,0,0,0,0,
o,2.01102E+13,2/19/2011,2011-02,MOUNTRAIL,15709101,No,EOG Resources,Other,0,0,0,0,0,0,0,
o,2.01101E+13,1/3/2011,2011-01,BOTTINEAU,16407836,No,EOG Resources,Fire,0,0,0,0,0,0,0,
o,2.01101E+13,12/11/2010,2010-12,BILLINGS,14310034,Yes,Encore Energy,Pipeline,0,0,0,0,0,0,0,
o,RWH00000274,12/25/2010,2010-12,BILLINGS,14309909,No,Carl Nordstrom,Pipeline,0,0,0,0,0,0,0,
o,2.01011E+13,11/24/2010,2010-11,DIVIDE,16009503,Yes,Sequel Energy,Fire,0,0,0,0,0,0,0,
o,2.01011E+13,11/8/2010,2010-11,WILLIAMS,15909532,Yes,Murex,Overflow,0,0,0,0,0,0,0,
o,2.01011E+13,11/4/2010,2010-11,WILLIAMS,15809613,Yes,Hess Corporation,Pipeline,0,0,0,0,0,0,0,
o,2.01011E+13,11/4/2010,2010-11,WILLIAMS,15709503,Yes,Hess Corporation,Pipeline,0,0,0,0,0,0,0,
o,2.0101E+13,10/26/2010,2010-10,MOUNTRAIL,15409203,Yes,Whiting Oil & Gas,Fire,0,0,0,0,0,0,0,
o,2.0101E+13,9/30/2010,2010-09,MCKENZIE,15209520,Yes,Hess Corporation,Other,0,0,0,0,0,0,0,
o,2.01009E+13,9/27/2010,2010-09,DIVIDE,16209914,Yes,Baytex,Fire,0,0,0,0,0,0,0,
o,2.01009E+13,9/10/2010,2010-09,Williams,15709526,Yes,Hess Corporation,Tank Leak,0,0,0,0,0,0,0,
o,MFB00000343,7/21/2010,2010-07,MOUNTRAIL,15509321,Yes,Hess Corporation,Other,0,0,0,0,0,0,0,
